round_epochs,loss,accuracy,val_loss,val_accuracy,units,hidden_activations,activation,loss,optimizer,batch_size
200,0.009884030558168888,0.0,0.009884029626846313,0.0,120,sigmoid,softmax,mse,adagrad,2000
200,2.9990267753601074,0.04958000034093857,2.9975955486297607,0.05000000074505806,120,sigmoid,softmax,categorical_crossentropy,adam,1000
200,2.8055012226104736,0.11320000141859055,2.811091184616089,0.10580000281333923,120,sigmoid,softmax,categorical_crossentropy,adam,2000
200,3.0091981887817383,0.053199999034404755,3.009139060974121,0.05939999967813492,120,sigmoid,softmax,categorical_crossentropy,adagrad,1000
200,3.026852607727051,0.05112000182271004,3.026740312576294,0.05420000106096268,120,sigmoid,softmax,categorical_crossentropy,adagrad,2000
200,0.009503545239567757,0.049720000475645065,0.009503514505922794,0.05000000074505806,120,sigmoid,sigmoid,mse,adam,1000
200,0.009502406232059002,0.047680001705884933,0.009501843713223934,0.05000000074505806,120,sigmoid,sigmoid,mse,adam,2000
200,0.0384845957159996,0.0,0.038377631455659866,0.0,120,sigmoid,sigmoid,mse,adagrad,1000
200,0.08929061889648438,0.0,0.08906009793281555,0.0,120,sigmoid,sigmoid,mse,adagrad,2000
200,2.998565912246704,0.04944000020623207,2.998647928237915,0.05000000074505806,120,sigmoid,sigmoid,categorical_crossentropy,adam,1000
200,2.9978058338165283,0.04960000142455101,2.9978959560394287,0.05000000074505806,120,sigmoid,sigmoid,categorical_crossentropy,adam,2000
200,3.0102460384368896,0.0568000003695488,3.010180711746216,0.07109999656677246,120,sigmoid,sigmoid,categorical_crossentropy,adagrad,1000
200,3.0272271633148193,0.050039999186992645,3.0271120071411133,0.05000000074505806,120,sigmoid,sigmoid,categorical_crossentropy,adagrad,2000
200,0.019796401262283325,0.010180000215768814,0.019999997690320015,0.0,240,relu,softmax,mse,adam,1000
200,0.01901969313621521,0.04899999871850014,0.019009718671441078,0.0494999997317791,240,relu,softmax,mse,adam,2000
200,0.015120740979909897,0.05057999864220619,0.015379905700683594,0.04360000044107437,240,relu,softmax,mse,adagrad,1000
200,0.015107919462025166,0.03322000056505203,0.015302012674510479,0.02969999983906746,240,relu,softmax,mse,adagrad,2000
200,1.3860524892807007,0.5621200203895569,3.0835976600646973,0.31859999895095825,240,relu,softmax,categorical_crossentropy,adam,1000
200,1.819921612739563,0.43143999576568604,2.4526073932647705,0.29980000853538513,240,relu,softmax,categorical_crossentropy,adam,2000
200,2.318636178970337,0.29458001255989075,2.4461562633514404,0.25440001487731934,240,relu,softmax,categorical_crossentropy,adagrad,1000
200,2.4207937717437744,0.2616199851036072,2.510719060897827,0.23759999871253967,240,relu,softmax,categorical_crossentropy,adagrad,2000
200,0.1759999841451645,0.05000000074505806,0.1759999692440033,0.05000000074505806,240,relu,sigmoid,mse,adam,1000
200,0.24599994719028473,0.05000000074505806,0.24599994719028473,0.05000000074505806,240,relu,sigmoid,mse,adam,2000
200,0.11802583187818527,0.05000000074505806,0.11802094429731369,0.05000000074505806,240,relu,sigmoid,mse,adagrad,1000
200,0.09004715085029602,0.0,0.09005144983530045,0.0,240,relu,sigmoid,mse,adagrad,2000
200,1.3829045295715332,0.5611400008201599,3.1451377868652344,0.3142000138759613,240,relu,sigmoid,categorical_crossentropy,adam,1000
200,1.8235665559768677,0.4338200092315674,2.4706718921661377,0.3203999996185303,240,relu,sigmoid,categorical_crossentropy,adam,2000
200,2.3095479011535645,0.29482001066207886,2.4473776817321777,0.26269999146461487,240,relu,sigmoid,categorical_crossentropy,adagrad,1000
200,2.41083025932312,0.26677998900413513,2.502185344696045,0.2484000027179718,240,relu,sigmoid,categorical_crossentropy,adagrad,2000
200,0.00940388161689043,0.07118000090122223,0.00940858107060194,0.07079999893903732,240,sigmoid,softmax,mse,adam,1000
200,0.009285315871238708,0.10582000017166138,0.009268665686249733,0.1136000007390976,240,sigmoid,softmax,mse,adam,2000
200,0.009935330599546432,0.0,0.009935316629707813,0.0,240,sigmoid,softmax,mse,adagrad,1000
200,0.009962564334273338,0.0,0.009962547570466995,0.0,240,sigmoid,softmax,mse,adagrad,2000
